stock_code,trade_date,close,volume,turnover_rate,market_value,pe_ttm,pb,roe
000831,2025-08-25,50.392,116630258,0.1099,53506753088.94,313.894556,7.708945,-0.057238
000831,2025-08-26,46.934,94753503,0.08929,49834929096.72,313.894556,7.708945,-0.057238
000831,2025-08-27,48.173,104118287,0.09811,51150842897.4,313.894556,7.708945,-0.057238
000831,2025-08-28,52.99,165254750,0.15572,56265927187.14,313.894556,7.708945,-0.057238
000831,2025-08-29,58.287,90681102,0.08545,61890397464.24,313.894556,7.708945,-0.057238
000831,2025-09-01,59.087,174156948,0.16411,62739374109.84,313.894556,7.708945,-0.057238
000831,2025-09-02,61.525,165313077,0.15578,65328752878.92,313.894556,7.708945,-0.057238
000831,2025-09-03,57.138,132541955,0.1249,60669993536.19,313.894556,7.708945,-0.057238
000831,2025-09-04,51.811,129455049,0.12199,55013686634.88,313.894556,7.708945,-0.057238
000831,2025-09-05,53.02,79708280,0.07511,56297763811.35,313.894556,7.708945,-0.057238
000831,2025-09-08,52.57,58991197,0.05559,55820214448.2,313.894556,7.708945,-0.057238
000831,2025-09-09,51.751,65613633,0.06183,54950013386.46,313.894556,7.708945,-0.057238
000831,2025-09-10,52.53,68746677,0.06478,55777765615.92,313.894556,7.708945,-0.057238
000831,2025-09-11,55.069,102915602,0.09698,58473266465.7,313.894556,7.708945,-0.057238
000831,2025-09-12,56.438,102348250,0.09644,59927138971.29,313.894556,7.708945,-0.057238
000831,2025-09-15,56.508,81586972,0.07688,60001424427.78,313.894556,7.708945,-0.057238
000831,2025-09-16,54.419,86251312,0.08128,57783472941.15,313.894556,7.708945,-0.057238
000831,2025-09-17,55.199,54551765,0.0514,58611225170.61,313.894556,7.708945,-0.057238
000831,2025-09-18,52.181,75422929,0.07107,55406338333.47,313.894556,7.708945,-0.057238
000831,2025-09-19,51.251,42871690,0.0404,54419402982.96,313.894556,7.708945,-0.057238
000831,2025-09-22,51.261,39853549,0.03755,54430015191.03,313.894556,7.708945,-0.057238
000831,2025-09-23,49.072,56574715,0.05331,52105941623.7,313.894556,7.708945,-0.057238
000831,2025-09-24,49.972,37261432,0.03511,53061040350.0,313.894556,7.708945,-0.057238
000831,2025-09-25,50.621,41953035,0.03953,53750833874.55,313.894556,7.708945,-0.057238
000831,2025-09-26,49.702,35560014,0.03351,52774510732.11,313.894556,7.708945,-0.057238
000831,2025-09-29,49.752,30064347,0.02833,52827571772.46,313.894556,7.708945,-0.057238
000831,2025-09-30,51.721,56882803,0.0536,54918176762.25,494.50605,10.971075,-0.057238
