feature,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10
dim_079,0.038952572533164573,0.029642067532404465,0.06287039312480891,-0.067690292486740952,0.0043560330193467113,0.10625996619095299,-0.014240914382584109,0.0052028009322152499,0.05419085779310364,-0.0072843498221507414
dim_080,-0.0098935357274015263,-0.0089437508817294328,0.00049729800856415771,0.0030682694365791715,0.0060272027947598783,0.0046272852059638329,-0.0079441662523245943,0.039502070272116031,-0.0090703713986061644,0.049023822381376432
dim_081,-0.0032696625140726044,-0.0041094930587347537,0.0058338128206573718,-0.0055972911594906081,-0.00076738793021697638,-0.012235162693015658,0.033399524711240129,0.0048510788549950886,0.04149522936308845,0.032439188056663723
dim_082,0.10776699649204592,-0.026454287146176033,-0.053273555151493741,-0.058128192247412509,0.064575030197515176,0.0090784018778355922,0.089996641895162321,-0.024373844282802652,-0.027542528295160844,-0.014920826270687054
dim_083,0.0037160623187975587,0.0018706337721530384,-0.0024794126436876985,-0.01660542155691417,0.031036287749571213,0.02334527547548922,-0.010218108837870306,0.037683725785264098,0.00023646523334780944,0.047223355878429345
dim_084,0.0034934214673280365,-0.0042234139069967681,-0.0057650246516509074,0.017605878400123797,-0.015783011645447265,-0.0022610611088730911,-0.0051891236532536555,-0.017214647942213241,-0.02657934638339807,-0.042903725994465708
dim_085,0.0052173412060115268,-0.0050998656654761068,0.055303432912992806,-0.0011123280087622315,0.018262034613847407,-0.030632672115299551,0.037218726838474984,-0.017537669821943699,0.011201527527395451,0.016079507837543184
dim_086,-0.0045625673638359111,-0.0095659597391846568,-0.012522255423517238,-0.0046485444997110738,0.016678370533908742,0.00022887019686834267,-0.028510205343030934,-0.037932719184841104,0.027722273439081048,0.02475521985221403
dim_087,-0.092605830511793774,-0.018973838254284423,-0.016457430138528861,-0.091311676886423027,0.056148000936516923,-0.023672895461111385,0.0011768678545802669,0.0077790070653546662,0.02262562822209915,-0.00093861049329715268
dim_088,-0.026766860206431584,-0.00069656662882754497,0.015366535103766779,0.007011013441918533,-0.0071140820486945552,-0.0075376345120138797,0.0016698575757586205,-0.025504377830058517,0.028543164625072958,0.014720352766137576
dim_089,0.017744739363813274,-0.0013276638450536095,0.0012105898315040841,-0.02134251040228791,0.0072980626681755298,-0.012797820221576384,-0.0020614764869750029,-0.049787873363753059,-0.034796230243811635,-0.00094694829924785694
dim_090,-0.086516960940989457,-0.0056965377836860768,0.017385256557179395,-0.026079264359824085,-0.0029252083315894615,0.12750507564134167,0.059403508854256749,0.052142979216936593,-0.024422474521770089,-0.091671910739022491
dim_091,-0.054892125104680035,-0.0094300307540637375,-0.038750844030617584,0.11559498575948919,-0.042442133186594268,0.077430823583323052,-0.04051638950598889,0.022302846437839943,0.034148112137194563,0.025420992632118122
dim_092,-0.011985809933235362,0.003233254953215053,0.0080076969361161845,0.0025891295205174047,-0.0076465994353389953,-0.0090634425218407717,-0.00037400180341207087,-0.0067736655267126595,0.011359091595080464,-0.047995628260910639
dim_093,0.0051761300091476116,-0.03247917938254425,-0.014766133387226883,-0.065570009590364728,-0.13730412392795249,-0.026342454627046308,0.0017748556904850644,-0.0031439524668123988,-0.0092378003222561567,-0.0017452867564923776
dim_094,0.015668544232028833,-0.020911880360350368,-0.00041613138137386861,0.018730909125119637,0.0013074473432327534,-0.01373312501664057,0.019911907441899607,0.04379880155124407,0.018137500911415971,-0.032702222579625809
dim_095,0.013595361227781672,-0.015069618478938535,-0.00063167874784661069,0.0029485271934040417,-0.0081745651160194041,-0.00079237983319239394,-0.014096018804218072,0.00096323956951230934,0.053854234170838261,0.063508029492925805
